defid,wordid,partofspeech,def_chinese,def_english
1,1,數詞,數目。,number.
2,1,形容詞,全部的、整個的。,"All, the whole."
3,1,副詞,表示時間短、數量少、程度輕等。,"It means short time, small quantity, light degree, etc."
4,2,數詞,數字。,number.
5,2,形容詞,極、最、第一的。,"The most, the most, the first."
6,2,形容詞,相同的。,Same.
7,2,副詞,整個地、全部地。,"Whole, all."
8,3,熟語,一刀斬成兩段，比喻斷絕關係。,Cutting into two pieces with one knife is a metaphor for severing ties.
9,4,,動詞後綴。表示極短的時間或是短時間的動作。 ,Verb suffix. Indicates a very short period of time or a short-term action. 
10,4,副詞,表示兩個動作間的連續狀況，相當於華語「一……就……」。,"It expresses the continuous situation between two actions, which is equivalent to ""as soon as... then..."" in Chinese."
11,4,助詞,連接動詞及補語，相當於華語「得」。,"Linking verbs and complements, equivalent to the Chinese word ""de""."
12,5,時間詞,一個月。,One month.
13,6,熟語,一天到晚、從早到晚，整天。,"All day long, morning to night, all day long."
14,7,名詞,一輩子。,lifetime.
15,8,名詞,二分之一。,One half.
16,8,形容詞,表示次數很少。,Expressed very rarely.
17,9,名詞,幾個、一兩個、少數幾個。,"A few, one or two, a few."
18,10,熟語,一兩天。,A day or two.
19,11,副詞,遍地、到處。,"Everywhere, everywhere."
20,12,副詞,假使有一天。,If one day.
21,12,名詞,短暫的時間。,A brief period of time.
22,13,名詞,畢生、一輩子。,"A lifetime, a lifetime."
24,14,時間詞,一瞬間、一眨眼。指很短暫的時間。,"A moment, a blink of an eye. Refers to a very short period of time."
25,15,時間詞,六十年。由十二天干數和十地支數配合而形成的傳統計算年歲的方法，以六十年為一個輪迴。,"Sixty years. The traditional method of calculating age formed by the combination of the twelve heavenly stems and the ten earthly branches, takes sixty years as a cycle."
26,16,數詞,一百零一。,One hundred and one.
27,17,副詞,首先。,first.
28,18,副詞,必定、必然。,"Must, necessarily."
29,18,形容詞,固定的。,Fixed.
30,19,副詞,朝同一個方向直行而去。,Go straight in the same direction.
31,19,副詞,持續不間斷。,Continuously.
32,20,副詞,全部都一樣。,All the same.
33,21,形容詞,趨向相同。,The trend is the same.
34,22,副詞,描述兩種以上的事情同時進行著。,Describes two or more things going on at the same time.
35,22,形容詞,片面的，單方面的。,"One-sided, one-sided."
36,23,名詞,一坨屎、一坨大便。,"A piece of shit, a piece of shit."
37,24,形容詞,一點點。形容體積很小或數量很少。,A little bit. Describes a small size or a small number.
38,25,名詞,一家子。全家人、同一家人。,"A family. The whole family, the same family."
39,26,形容詞,普遍性的、平常的。,Universal and ordinary.
40,27,形容詞,最好的、第一流的。,"The best, first class."
41,27,形容詞,最投契的。,The most congenial.
42,28,副詞,一陣子、一會兒。,"For a while, for a while."
43,28,副詞,一口氣。,One breath.
44,29,副詞,一律、完全。,Uniformly and completely.
45,30,名詞,沿途、路上。 ,"Along the way, on the road. "
46,31,形容詞,一些、少許，也可以單說「寡」(--kuá)。,"Some, a little, or just ""little"" (--kuá)."
47,32,形容詞,一點點、一些些。,"A little bit, a little bit."
48,33,時間詞,一晝夜、二十四小時。,"One day and night, twenty-four hours."
49,34,副詞,一瞬間、一下子。形容很短的時間。,"For a moment, all at once. Describe a short period of time."
50,35,形容詞,一點兒、一 點點。形容數量極少。,"A little, a little. Describes a very small quantity."
51,36,名詞,一糞坑的大便。,A cesspool of shit.
52,36,形容詞,形容一群無用的人或東西。,Describe a group of useless people or things.
53,37,時間詞,一會兒、一下子。,"For a while, all of a sudden."
