id,type,chinese,romaji,classification,audioid,english
1,主詞目,一,tsi̍t,"性質、程度,數詞、量詞",1(1),one
2,主詞目,一,it,"性質、程度,數詞、量詞",2(1),one
3,主詞目,一刀兩斷,it-to-lióng-tuān,交際應酬,3(1),Cut in two
4,主詞目,一下,tsi̍t-ē,性質、程度,4(1),one time
5,主詞目,一月日,tsi̍t gue̍h-ji̍t/tsi̍t ge̍h-li̍t,時間節令,5(1),january day
6,主詞目,一日到暗,tsi̍t-ji̍t-kàu-àm/tsi̍t-li̍t-kàu-àm,時間節令,6(1),It gets dark day by day
7,主詞目,一世人,tsi̍t-sì-lâng,"時間節令,生養老死",7(1),One generation
8,主詞目,一半,tsi̍t-puànn,數詞、量詞,8(1),half
9,主詞目,一半个仔,tsi̍t-puànn-ê-á,數詞、量詞,9(1),Half a boy
10,主詞目,一半日仔,tsi̍t-puànn-ji̍t-á/tsi̍t-puànn-li̍t-á,時間節令,10(1),Half a day boy
11,主詞目,一四界,tsi̍t-sì-kè/tsi̍t-sì-kuè,空間方位,11(1),One and four realms
12,主詞目,一旦,it-tàn,副詞,12(1),once
13,主詞目,一生,it-sing,"時間節令,生養老死",13(1),lifetime
14,主詞目,一目𥍉仔,tsi̍t-ba̍k-nih-á,時間節令,14(1),One eye 𥍉 boy
15,主詞目,一甲子,tsi̍t kah-tsí,"時間節令,生養老死",15(1),A period of time
16,主詞目,一百空一,tsi̍t-pah khòng-it,數詞、量詞,16(1),One hundred empty
17,主詞目,一來,it--lâi,副詞,17(1),As soon as I come
18,主詞目,一定,it-tīng,"境況、狀態-擬事,副詞",18(1),must
19,主詞目,一直,it-ti̍t,副詞,19(1),Always
20,主詞目,一律,it-lu̍t,副詞,20(1),uniformly
21,主詞目,一致,it-tì,,21(1),consistent
22,主詞目,一面,tsi̍t-bīn,副詞,22(1),one side
23,主詞目,一垺屎,tsi̍t-pû-sái,,23(1),A piece of shit
24,主詞目,一屑仔,tsi̍t-sut-á,性質、程度,24(1),YiCanZai
